41:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.677 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxServiceTest$BuildAggregateId
43:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxServiceTest$FindByReferenceNumber
52:[INFO] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.107 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxServiceTest$AppendEvent
53:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.816 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxServiceTest
56:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.outbox.gbnag.GbnAgMapperTest$MinimalAndDefaults
58:[INFO] Tests run: 15, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in uk.gov.defra.trade.imports.animals.outbox.gbnag.GbnAgMapperTest$HappyPath
59:[INFO] Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.042 s -- in uk.gov.defra.trade.imports.animals.outbox.gbnag.GbnAgMapperTest
68:[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.109 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxReplayServiceTest$Replay
69:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.110 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxReplayServiceTest
73:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.038 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxPollerTest$Poll
74:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.038 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxPollerTest
76:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxEventTypeTest
90:[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.234 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxPublishServiceTest$PublishUnpublishedEvents
91:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.235 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxPublishServiceTest
94:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpScanResultFormTest$ExplicitConstructorDefensiveCopy
96:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpScanResultFormTest$AddFileMutability
98:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.022 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpScanResultFormTest$JsonAnySetterDeserialization
99:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.026 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpScanResultFormTest
103:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.125 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpUploaderClientTest$UploadFile
108:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpUploaderClientTest$ErrorPath
110:[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpUploaderClientTest$HappyPath
111:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.138 s -- in uk.gov.defra.trade.imports.animals.cdp.uploader.CdpUploaderClientTest
114:[INFO] Tests run: 19, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.167 s -- in uk.gov.defra.trade.imports.animals.configuration.NotificationTtlConfigTest
121:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in uk.gov.defra.trade.imports.animals.configuration.tls.CertificateLoaderTest
123:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.013 s -- in uk.gov.defra.trade.imports.animals.configuration.MetricsConfigTest
125:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.configuration.MetricsConfigurationPropertiesTest
127:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.008 s -- in uk.gov.defra.trade.imports.animals.configuration.CacheConfigTest
129:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.185 s -- in uk.gov.defra.trade.imports.animals.s3.S3DocumentServiceTest
132:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.198 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationExpirySweeperConditionTest
171:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.848 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$ReplayOutboxEvents
186:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.020 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$SoftDelete
196:[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$GetOutboxEvents
209:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$FindAllReferenceNumbers
223:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.019 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$FindByRef
242:[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.026 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$Delete
264:[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.023 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$FindAll
279:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$CancelAmendNotification
297:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$AmendNotification
318:[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.015 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$SubmitNotification
331:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.037 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest$PostNotification
332:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.149 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationControllerTest
335:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationContentSnapshotTest$Restore
337:[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationContentSnapshotTest$Capture
338:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.006 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationContentSnapshotTest
341:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in uk.gov.defra.trade.imports.animals.notification.ReferenceNumberGeneratorTest$Generate
342:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in uk.gov.defra.trade.imports.animals.notification.ReferenceNumberGeneratorTest
344:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationSortTest
346:[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationMapperTest
350:[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationExpirySweeperTest$Sweep
351:[INFO] Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationExpirySweeperTest
354:[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.070 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$SoftDeleteNotification
