COMMAND     PID          USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd   1078 samfarrington   11u  IPv4 0x989d011b1af2284e      0t0  TCP *:49393 (LISTEN)
rapportd   1078 samfarrington   14u  IPv6 0x2c3cb84997b062e1      0t0  TCP *:49393 (LISTEN)
ControlCe  1191 samfarrington    9u  IPv4 0x775bd75036361c58      0t0  TCP *:7000 (LISTEN)
ControlCe  1191 samfarrington   10u  IPv6 0xfafef52bab4dd3ae      0t0  TCP *:7000 (LISTEN)
ControlCe  1191 samfarrington   11u  IPv4 0xf5a1473ffa5121a2      0t0  TCP *:5000 (LISTEN)
ControlCe  1191 samfarrington   12u  IPv6 0x318fcfdf1b8de946      0t0  TCP *:5000 (LISTEN)
whisper-s  2117 samfarrington    3u  IPv4  0x9384d0b2fd72a74      0t0  TCP *:2022 (LISTEN)
python3.1  2246 samfarrington   10u  IPv4 0x3a4b9b9bbb4971f8      0t0  TCP *:8880 (LISTEN)
node       9790 samfarrington   19u  IPv6 0x808f08dae61d82fb      0t0  TCP [::1]:9323 (LISTEN)
cef_serve 10813 samfarrington   40u  IPv4 0x8f207b447ac8567e      0t0  TCP 127.0.0.1:30000 (LISTEN)
com.docke 25965 samfarrington   79u  IPv6 0xb95ff6bb3199cbe1      0t0  TCP *:27017 (LISTEN)
com.docke 25965 samfarrington  110u  IPv6  0x73ab23f3fc56dc3      0t0  TCP *:8474 (LISTEN)
com.docke 25965 samfarrington  129u  IPv6  0x7e47aeec96aaca3      0t0  TCP *:3007 (LISTEN)
com.docke 25965 samfarrington  134u  IPv6 0x3d42f500aea6c78d      0t0  TCP *:8089 (LISTEN)
com.docke 25965 samfarrington  141u  IPv6 0xfea12b103d5cefe7      0t0  TCP *:5672 (LISTEN)
com.docke 25965 samfarrington  162u  IPv6 0xf81b6c21eda41e69      0t0  TCP *:8086 (LISTEN)
com.docke 25965 samfarrington  163u  IPv6 0x60f921ab79cb1189      0t0  TCP *:3001 (LISTEN)
com.docke 25965 samfarrington  183u  IPv6 0x756be6cf03f7c9c4      0t0  TCP *:3002 (LISTEN)
com.docke 25965 samfarrington  184u  IPv6 0x639b439aa016b251      0t0  TCP *:6379 (LISTEN)
com.docke 25965 samfarrington  187u  IPv6 0x6d6f3328c42f02dc      0t0  TCP *:7337 (LISTEN)
com.docke 25965 samfarrington  189u  IPv6 0x853b895018db47ed      0t0  TCP *:8087 (LISTEN)
com.docke 25965 samfarrington  224u  IPv6 0xf375d0f6c24e6f77      0t0  TCP *:8088 (LISTEN)
com.docke 25965 samfarrington  240u  IPv6 0x45ea825ab2b51700      0t0  TCP *:8085 (LISTEN)
com.docke 25965 samfarrington  334u  IPv6 0x30acc1eee4f28151      0t0  TCP *:4566 (LISTEN)
com.docke 25965 samfarrington  358u  IPv6 0x34b602a967e7aec9      0t0  TCP *:3000 (LISTEN)
jetbrains 81677 samfarrington  663u  IPv6 0x98eeb3a2de532155      0t0  TCP 127.0.0.1:51627 (LISTEN)
jetbrains 81677 samfarrington  810u  IPv6 0x54a51980ab998e2a      0t0  TCP 127.0.0.1:52829 (LISTEN)
